,shop_name,creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
91,iratk56,2021-01,1,0,USD,False,,-99,0,None
92,CraftyGalCreations5,2021-01,1,0,USD,True,,-99,0,None
93,ChristineBurnsShops,2021-01,1,0,GBP,False,,-99,0,None
94,sylviepassetemps,2021-01,3,0,CHF,False,,-99,0,None
95,MySassyDesignsStudio,2021-01,4,0,USD,True,,-99,0,None
96,Yd6c6cu,2021-01,0,0,USD,False,,-99,-99,None
97,StephenReddington,2021-01,1,0,EUR,False,,-99,0,None
98,LyssadesignsArt,2021-01,2,0,USD,True,,-99,0,None
99,SMcleodCreations,2021-01,1,0,USD,True,,-99,0,None
100,CheglakovArtCrafts,2021-01,2,0,USD,True,,-99,0,None
101,MaeRaesWoodBoards,2021-01,5,2,USD,True,"Thank you so much for shopping at Mae Rae’s Wood Boards.  Please, feel free to leave a review and tell others to visit the shop.  
God bless",-99,0,None
102,AllWrappedUpBySue,2021-01,21,0,GBP,False,,-99,0,None
103,TrivX,2021-01,1,0,USD,False,,-99,0,None
104,StevenGoldbergDesign,2021-01,1,0,USD,True,,-99,0,None
105,uniearning,2021-01,5,0,USD,True,,-99,0,None
106,iratk56,2021-01,1,0,USD,False,,-99,0,None
107,CraftyGalCreations5,2021-01,1,0,USD,True,,-99,0,None
108,ChristineBurnsShops,2021-01,1,0,GBP,False,,-99,0,None
109,sylviepassetemps,2021-01,3,0,CHF,False,,-99,0,None
110,MySassyDesignsStudio,2021-01,4,0,USD,True,,-99,0,None
111,Yd6c6cu,2021-01,0,0,USD,False,,-99,-99,None
112,StephenReddington,2021-01,1,0,EUR,False,,-99,0,None
113,LyssadesignsArt,2021-01,2,0,USD,True,,-99,0,None
114,SMcleodCreations,2021-01,1,0,USD,True,,-99,0,None
115,Tanonu,2021-01,1,0,USD,False,,-99,0,None
116,ukanabakana,2021-01,6,0,USD,False,,-99,0,None
117,BizeeBeesJustImagine,2021-01,4,1,USD,True,,-99,0,None
118,Fabwerks,2021-01,1,0,USD,True,,-99,0,None
119,HaisFinds,2021-01,1,0,USD,True,,-99,0,None
120,1coloursbyolivia,2021-01,2,0,GBP,False,,-99,0,None
121,VladimirVelichkoArt,2021-01,4,0,EUR,False,,-99,0,None
122,9classy,2021-01,3,0,CAD,False,,-99,0,None
123,MamasitasCorner,2021-01,1,0,USD,True,,-99,0,None
124,mishmoshkabosh,2021-01,1,0,USD,True,,-99,0,None
125,BlazingAbundanceShop,2021-01,2,1,GBP,False,,-99,0,None
126,ArtbyBD,2021-01,1,0,USD,True,,-99,0,None
127,RedWolf7241,2021-01,0,0,USD,False,,-99,0,None
128,PawsitivelyCustom,2021-01,21,0,CAD,False,"Thank you for your purchase!
We will begin fulfilling your personalized product immediately.
In the mean time, feel free to browse our shop for more adorable products!",-99,0,None
129,MissFarbenschoen,2021-01,11,0,EUR,False,,-99,0,None
130,Witchywomenspelljars,2021-01,2,0,USD,True,,-99,0,None
131,LeviGorgeousDesigns,2021-01,1,0,CAD,False,,-99,0,None
132,TOMbrosANSsisINM8RIB,2021-01,1,0,USD,True,,-99,0,None
133,CameronGooch,2021-01,1,0,USD,True,,-99,0,None
134,AbuelaPatycreations,2021-01,3,0,USD,True,,-99,0,None
135,MADEBYharwardt,2021-01,12,6,EUR,False,"Hallo,
vielen Dank für Deinen Einkauf meiner Produkte. 
Ich wünsche Dir Freude damit.

Sollte Dir der Artikel aus irgendeinem Grund nicht gefallen, bitte ich Dich mich zu kontaktieren.
Über positives Feedback freue ich mich natürlich auch.

Viele Grüße
Alex.
MADEBYharwardt",-99,0,None
136,JaspStudio,2021-01,2,0,USD,True,,-99,0,None
137,TcCompanyStore,2021-01,4,0,USD,True,,-99,0,None
138,YummySmellsForYou,2021-01,1,2,USD,True,,-99,0,None
139,notoriousJPG,2021-01,1,1,USD,True,,-99,0,None
140,BrookieBearCreations,2021-01,1,0,USD,True,,-99,0,None
141,TheRandleGirlsAndCo,2021-01,2,0,USD,True,,-99,0,None
142,JewelryLoveLace,2021-01,1,2,USD,True,"Thank you for supporting my small business. If you have any questions or concerns, please contact me. ",-99,0,None
143,SophieDrouinStore,2021-01,1,0,CAD,False,,-99,0,None
144,TETIANAKUCHMII,2021-01,1,0,GBP,False,,-99,0,None
145,CMsInfinityCreations,2021-01,10,0,GBP,False,,-99,0,None
146,KasturbaRajagopalan,2021-01,1,0,USD,False,,-99,0,None
147,Doxiepoo,2021-01,1,0,USD,True,,-99,0,None
148,AustinDavisshop,2021-01,1,0,USD,True,,-99,0,None
149,RyanDESIGNCA,2021-01,5,0,CAD,False,,-99,0,None
150,MonsterBooksstore,2021-01,0,0,USD,False,,-99,-99,None
151,ancestrallegends,2021-01,1,0,CAD,False,,-99,0,None
152,MarsStarsTC,2021-01,10,0,USD,True,Thank you so much for your purchase! ,-99,0,None
153,Baralists,2021-01,1,0,AUD,False,,-99,0,None
154,simbadecor,2021-01,2,0,TRY,False,,-99,0,None
155,KurtFrederickStore,2021-01,1,0,USD,True,,-99,0,None
156,FabricsByRhoden,2021-01,6,0,USD,True,,-99,0,None
157,HandmadebyBarbaraUS,2021-01,0,0,USD,True,,-99,-99,None
158,AdventureJewerlyShop,2021-01,1,0,USD,True,,-99,0,None
159,RachaelClarenceCA,2021-01,5,1,USD,True,,-99,0,None
160,ZoeStore122,2021-01,1,0,USD,False,,-99,0,None
161,airsbyaaron,2021-01,8,3,GBP,False,,-99,0,None
162,AntheiaFine,2021-01,1,0,GBP,False,,-99,0,None
163,taodedharma,2021-01,1,0,USD,True,,-99,0,None
164,SofiaStore471,2021-01,6,0,USD,False,,-99,0,None
165,AZHolmStore,2021-01,0,0,USD,False,,-99,-99,None
166,LesCreationsValou,2021-01,4,0,CAD,False,,-99,0,None
167,ConnieFalletta,2021-01,1,0,CAD,False,,-99,0,None
168,thequirkyzebra,2021-01,1,0,GBP,False,,-99,0,None
169,UltravioletUK,2021-01,4,1,GBP,False,,-99,0,None
170,MoviesClothingShop,2021-01,1,0,USD,False,,-99,0,None
171,SunflowerBeadStore,2021-01,1,1,USD,True,,-99,0,None
172,esztikiraly,2021-01,1,0,EUR,False,,-99,0,None
173,SteveCrossonArt,2021-01,1,0,CAD,False,,-99,0,None
174,F1Locos,2021-01,2,0,GBP,False,,-99,0,None
175,xuxes,2021-01,2,1,EUR,False,,-99,0,None
176,EdgarEguiza,2021-01,1,0,USD,True,,-99,0,None
177,MASCADELATEX1,2021-01,1,0,MXN,False,,-99,0,None
178,KentuckyCreations859,2021-01,1,0,USD,True,,-99,0,None
179,Brightyoke,2021-01,1,0,USD,False,,-99,0,None
180,DustyStudioCreations,2021-01,2,0,USD,True,,-99,0,None
181,ArtistrybyRachelleCo,2021-01,1,0,USD,True,,-99,0,None
182,JourneysMade,2021-01,7,0,GBP,False,,-99,0,None
